date_stamp,numberOfParticles,volFrac,Ex,Ey,Ez,Hx,Hy,Hz,mag_x,mag_y,mag_z,modulus_X,modulus_y,modulus_z,e_rel_x,e_rel_y,e_rel_z,sigma_x,sigma_y,sigma_z
2023-06-12-07-45,100,5,0,0,100000000,0,0,0,0.148362642,-0.167564974,-0.200660182,2369687.533,2382696.562,3467194.853,6.736530643,6.737683684,6.749798018,71360428.9,69099418.14,32215513.63
2023-06-13-15-09,100,10,0,0,0,0,0,0,-0.07157453,-0.628032299,-0.069289705,2420261.104,2408464.228,2377414.835,7.318799567,7.333685786,7.312486617,28886062.57,27268718.26,29990994.44
2023-06-13-15-19,100,10,0,0,100000000,0,0,0,0.916099334,0.865253188,0.232416511,2462939.302,2440903.454,3171386.906,7.286223668,7.251971405,7.313600457,34759524.12,39045907.36,17977718.19
2023-06-13-15-30,100,10,0,0,0,0,0,250000,0.055750272,-0.224049806,24.02499731,2544525.271,2517712.513,2336870.301,7.38311836,7.393897267,7.179183067,20620715.71,20905214.53,108223880.4
2023-06-13-15-42,100,10,0,0,1000000,0,250000,0,-0.014317735,1.339707349,-0.017607702,2519194.959,2338844.763,2531361.791,7.386191649,7.174850824,7.388763147,20413937.03,108216251.3,20626153.49
2023-06-13-15-54,100,10,0,0,1000000,0,0,250000,-0.097970847,0.14948459,24.23720049,2515424.662,2519880.958,2327719.799,7.393342567,7.396425081,7.177840093,20642856.89,21186928.59,106565596.3
2023-06-13-16-06,100,1,0,0,0,0,0,0,0.889122502,-4.302160076,0.734942214,2137603.111,2127839.991,2126853.898,6.067043445,6.065462111,6.062635205,226179265.2,244961011.5,262559250
2023-06-13-16-17,100,1,0,0,100000000,0,0,0,0.331923745,-0.346456459,0.040419395,2197652.764,2199663.898,2661118.645,6.054310093,6.055014243,6.055687306,329795988.1,325289593.2,136829662.4
2023-06-13-16-29,100,1,0,0,0,0,0,250000,0.018900438,-0.037244158,24.05070908,2137490.37,2140724.597,2128889.568,6.074685171,6.074982872,6.045366403,181191784.1,180876968,849833019
2023-06-13-16-41,100,1,0,0,1000000,0,250000,0,0.04983799,4.272305821,-0.028353373,2125526.141,2129041.835,2140393.328,6.074772209,6.045389009,6.07491657,180239191.6,853295579.6,178867598.1
2023-06-13-16-53,100,1,0,0,1000000,0,0,250000,0.247910688,0.182201559,24.70246289,2148489.713,2115321.054,2126934.462,6.074512097,6.074877231,6.045101911,179404706.6,178645817.7,853434296.6
2023-06-13-17-06,100,5,0,0,0,0,0,0,0.585108293,0.289873412,0.639571051,2258480.293,2263888.479,2258884.194,6.765106311,6.779393359,6.76766439,57397215.78,51573442.73,55676998.75
2023-06-13-17-17,100,5,0,0,100000000,0,0,0,0.372738341,0.767805757,0.139580819,2379709.215,2396410.811,3635756.783,6.73271144,6.740091929,6.747185982,73678962.67,69929663.04,31893914.31
2023-06-13-17-40,100,5,0,0,1000000,0,250000,0,-0.029918613,1.691327509,0.046969862,2312681.613,2226726.275,2303731.388,6.806512539,6.688982327,6.809822694,38728808.48,194152227.4,42052569.39
2023-06-13-17-53,100,5,0,0,1000000,0,0,250000,0.011967254,-0.012661612,24.43673766,2311180.375,2334420.111,2229862.747,6.811459375,6.811840657,6.691933546,39618929.69,40523301.59,194672514.9
2023-06-13-18-04,100,10,0,0,0,0,0,0,-0.356171261,0.548206095,0.425306446,2365985.699,2372451.488,2451106.473,7.302924358,7.306225844,7.360043306,31468090.53,31893254.85,24188563.5
2023-06-13-18-15,100,10,0,0,100000000,0,0,0,1.0399647,0.144640286,-0.22949704,2414159.526,2455448.359,2963432.774,7.254910986,7.289800717,7.32020217,41500132.07,33302887.96,18502746.34
2023-06-13-18-28,100,10,0,0,0,0,0,250000,-0.025432162,-0.068926581,24.28013164,2512552.33,2432599.474,2332943.922,7.38981937,7.397332427,7.182559185,20639003.32,21774087.9,106438560.3
2023-06-13-18-40,100,10,0,0,1000000,0,250000,0,-0.025353413,1.345442168,-0.016997396,2568883.981,2349572.485,2567870.741,7.38691565,7.175537267,7.387475966,20374724.8,110484765.9,20367581.59
2023-06-13-19-54,100,10,0,0,1000000,0,0,250000,-0.209808235,-0.23588003,24.16332877,2519162.361,2517730.972,2332767.042,7.393953478,7.385348402,7.179798173,20748899.32,20945012.19,107924916.8
2024-01-16-12-28,100,1,0,0,100000000,0,0,0,-0.273926111,-0.41123552,0.215707036,2216658.395,2212834.335,2831208.189,6.058182471,6.05370726,6.056022055,297481991.9,346062352.1,135065546.6
2024-01-29-22-41,100,1,0,0,0,0,0,250000,0.140985963,0.031105103,24.5864739,2152347.698,2152644.282,2126853.419,6.074102557,6.074314175,6.04469738,181957857.8,181497994.2,870868213
2024-01-29-23-00,100,5,0,0,0,0,0,250000,-0.235970707,-0.215669054,24.44279682,2328710.074,2306435.403,2225260.063,6.806563944,6.811314766,6.691091752,37822071.37,42622396.95,196638463.8
2024-01-30-00-05,100,5,0,0,1000000,0,0,250000,-0.078693583,-0.154238936,24.49052769,2292857.957,2321213.945,2226148.997,6.810213592,6.814253959,6.69120016,38932928.8,40981269.19,196349300.2
2024-01-30-00-24,100,1,0,0,1000000,0,250000,0,0.046136072,4.26265281,-0.031188402,2124020.224,2130231.429,2146630.827,6.074421726,12.03433749,6.074894445,175880135.6,861549099.8,182345965.6
2024-01-30-00-43,100,5,0,0,1000000,0,250000,0,-0.028675902,1.686693195,0.046024742,2334231.17,2226261.652,2328257.187,6.803651047,6.689367544,6.816580206,38286934.57,197638454,42555876.27
2024-02-13-17-40,100,1,0,0,0,0,0,0,-1.86386285,0.749367774,0.87773614,2128179.592,2129513.816,2122772.869,6.066408096,6.066250411,6.063599302,236829615.4,233680563.1,261068688.9
2024-02-15-20-41,100,1,0,0,0,0,0,0,-1.598629096,1.158296506,0.859435859,2133195.752,2139052.149,2134296.407,6.064399088,6.065584787,6.064095524,251677602.2,230345802,253156472.4
2024-02-15-21-01,100,5,0,0,0,0,0,0,-0.298252445,-0.303062541,1.503600591,2258926.561,2253232.882,2254933.856,6.781695403,6.77032977,6.76596769,49480096.82,56557000.79,58431186.24
2024-02-15-21-20,100,10,0,0,0,0,0,0,0.039519599,-0.025106507,-0.549157776,2401281.472,2374975.051,2401891.632,7.327593969,7.303817966,7.333809117,28264915.25,31189413.44,26864965.55
2024-02-15-21-40,100,1,0,0,0,0,0,0,-1.707423776,-0.304411372,1.844974055,2132306.19,2129423.324,2132496.259,6.063340296,6.065789291,6.065181092,258005549.4,236881103.8,244576513.5
2024-02-15-21-59,100,5,0,0,0,0,0,0,0.507805939,-0.57198416,2.062377072,2254428.83,2251943.073,2252876.558,6.767678939,6.770028063,6.773262664,55896367.5,54154420.69,54186899.59
2024-02-15-22-18,100,10,0,0,0,0,0,0,-0.191910177,-0.163193433,0.624485148,2372395.176,2447745.159,2385081.948,7.315047579,7.350174728,7.309913384,31130092.68,24628786.68,31434765.95
2024-02-23-10-36,100,1,0,0,1000000,0,250000,0,0.056100368,4.270074242,-0.029306689,2154213.225,2129535.33,2130031.601,6.074822011,6.044944771,6.07426672,182204093.9,854794874.1,178956277.4
2024-02-23-10-56,100,5,0,0,1000000,0,250000,0,-0.020657156,1.693546048,0.047769468,2333797.4,2230724.922,2332282.641,6.81680516,6.689901702,6.802146985,43565585.23,196485198.3,37463411.91
2024-02-23-11-15,100,10,0,0,1000000,0,250000,0,-0.019082701,1.336092582,-0.019098466,2499401.067,2332134.101,2530788.113,7.381144507,7.172091861,7.390849695,20935737.76,108577744.1,20937329.26
2024-02-23-11-34,100,1,0,0,1000000,0,250000,0,0.044741836,4.264337368,-0.031513713,2143759.669,2131865.99,2138298.563,6.073739409,6.045302257,6.074027827,182385354.4,860122588.4,180942883.4
2024-02-23-11-54,100,5,0,0,1000000,0,250000,0,-0.030222766,1.685078686,0.045805575,2327242.088,2230295.074,2327724.172,6.80158602,6.690449044,6.815485791,38482143.9,194427071.6,42435397.41
